Date,Deposit3M,Confidence_Index,gold_export,gold_import,crude_oil,dollar_exchange_rate,Inflation_rate,set_index,gols_price
Jan-15,1.900000,43.300000,489.430000,10415.470000,48.240000,32.720000,-2.036200,1581.250000,19026.970000
Feb-15,1.150000,42.400000,169.120000,22037.420000,49.760000,32.350000,-2.078520,1587.010000,18629.750000
Mar-15,1.150000,40.000000,173.110000,40473.980000,47.600000,32.530000,-5.660380,1505.940000,17907.600000
Apr-15,1.050000,38.800000,256.570000,10793.260000,59.630000,33.010000,-3.000000,1526.740000,18128.600000
May-15,1.000000,38.900000,437.540000,8626.100000,60.300000,33.690000,0.257732,1496.050000,18680.280000
Jun-15,1.000000,38.900000,170.760000,10358.050000,59.470000,33.790000,0.000000,1504.550000,18547.350000
Jul-15,1.000000,33.700000,154.610000,30991.820000,47.120000,34.990000,-13.367600,1440.120000,18107.450000
Aug-15,1.000000,34.600000,786.340000,15421.420000,49.200000,35.820000,2.670623,1382.410000,18399.390000
Sep-15,1.000000,35.400000,415.400000,7652.590000,45.090000,36.360000,2.312139,1349.000000,18822.310000
Oct-15,1.000000,36.200000,367.700000,6826.600000,46.590000,35.590000,2.259887,1394.940000,19183.810000
Nov-15,1.600000,37.600000,270.430000,48318.820000,41.650000,35.790000,3.867403,1359.700000,18127.120000
Dec-15,1.600000,37.200000,164.970000,35286.590000,37.040000,36.020000,-1.063830,1288.020000,17917.910000
Jan-16,1.600000,36.400000,239.250000,13614.350000,33.620000,35.710000,-2.150540,1300.980000,18395.750000
Feb-16,1.000000,38.100000,1892.380000,7398.210000,33.750000,35.610000,4.670330,1332.370000,19786.960000
Mar-16,1.000000,36.000000,618.360000,18081.620000,38.340000,35.100000,-5.511810,1407.700000,20364.370000
Apr-16,1.000000,35.800000,288.950000,6998.770000,45.920000,34.890000,-0.555560,1404.610000,20264.790000
May-16,1.000000,35.500000,750.190000,17930.470000,49.100000,35.760000,-0.837990,1424.280000,20646.710000
Jun-16,1.000000,35.100000,785.260000,11842.750000,48.330000,35.100000,-1.126760,1444.990000,20825.180000
Jul-16,1.000000,33.800000,844.250000,12180.210000,41.600000,34.760000,-3.703700,1524.070000,21727.310000
Aug-16,1.000000,38.900000,430.480000,12458.000000,44.700000,34.620000,15.088760,1548.440000,21555.190000
Sep-16,1.000000,36.200000,362.950000,14823.770000,48.240000,34.580000,-6.940870,1483.210000,21343.530000
Oct-16,1.000000,36.400000,222.830000,31314.860000,46.860000,35.020000,0.552486,1495.720000,20623.060000
Nov-16,1.000000,35.700000,460.700000,26683.190000,49.440000,35.690000,-1.923080,1510.240000,20289.330000
Dec-16,1.000000,39.100000,424.930000,40314.440000,53.720000,35.840000,9.523810,1542.940000,19121.000000
Jan-17,1.000000,39.200000,612.320000,43407.700000,52.810000,35.080000,0.255754,1577.310000,19597.640000
Feb-17,1.000000,40.400000,656.320000,17055.790000,54.010000,34.930000,3.061224,1559.560000,19998.020000
Mar-17,1.000000,38.500000,449.750000,27044.340000,50.600000,34.340000,-4.702970,1575.110000,19894.970000
Apr-17,1.000000,36.100000,358.680000,14106.830000,49.330000,34.580000,-6.233770,1566.320000,20231.380000
May-17,1.000000,40.300000,214.920000,22034.200000,48.320000,34.030000,11.634350,1561.660000,19906.760000
Jun-17,1.000000,39.500000,422.440000,32283.840000,46.040000,33.920000,-1.985110,1574.740000,19888.750000
Jul-17,1.000000,38.600000,206.420000,50446.390000,50.170000,33.290000,-2.278480,1576.080000,19340.080000
Aug-17,1.000000,38.400000,1040.650000,22929.940000,47.230000,33.170000,-0.518130,1616.160000,19734.390000
Sep-17,1.000000,39.500000,1253.010000,21423.290000,51.670000,33.320000,2.864583,1673.160000,20200.700000
Oct-17,1.000000,39.700000,124.140000,25740.830000,54.380000,33.220000,0.506329,1721.370000,19731.910000
Nov-17,1.000000,40.000000,129.240000,35196.420000,57.400000,32.640000,0.755668,1697.390000,19565.150000
Dec-17,1.000000,40.600000,338.830000,66010.490000,60.420000,32.550000,1.500000,1753.710000,19184.400000
Jan-18,1.000000,41.000000,486.060000,20459.710000,64.730000,31.340000,0.985222,1826.860000,19674.310000
Feb-18,1.000000,40.300000,249.590000,26994.940000,61.640000,31.480000,-1.707320,1830.130000,19455.330000
Mar-18,1.000000,40.000000,402.010000,48084.090000,64.940000,31.170000,-0.744420,1776.260000,19217.830000
Apr-18,1.000000,39.400000,490.510000,15362.380000,68.570000,31.540000,-1.500000,1780.110000,19353.260000
May-18,1.000000,37.800000,413.150000,23551.710000,67.040000,32.050000,-4.060910,1726.970000,19308.230000
Jun-18,1.000000,36.300000,464.260000,17771.320000,74.150000,33.020000,-3.968250,1595.580000,19282.940000
Jul-18,1.000000,37.100000,241.080000,39160.160000,68.760000,33.190000,2.203857,1701.790000,19108.600000
Aug-18,1.000000,37.600000,346.960000,82752.420000,69.800000,32.750000,1.347709,1721.580000,18432.880000
Sep-18,1.000000,38.000000,265.710000,33265.390000,73.250000,32.320000,1.063830,1756.410000,18122.260000
Oct-18,1.000000,35.500000,404.070000,28409.310000,65.310000,33.110000,-6.578950,1669.090000,18454.770000
Nov-18,1.000000,36.000000,314.380000,22573.970000,50.930000,32.960000,1.408451,1641.800000,18644.470000
Dec-18,1.150000,37.300000,407.210000,11803.510000,45.410000,32.330000,3.611111,1563.880000,18947.080000
Jan-19,1.150000,50.500000,307.290000,19537.850000,53.790000,31.200000,35.388740,1641.730000,19035.910000
Feb-19,1.150000,51.500000,512.120000,11870.280000,57.220000,31.570000,1.980198,1653.480000,19130.660000
Mar-19,1.150000,52.000000,404.930000,15897.520000,60.140000,31.720000,0.970874,1638.650000,19127.260000
Apr-19,1.150000,51.300000,209.700000,24271.880000,63.910000,31.890000,-1.346150,1673.520000,18992.560000
May-19,1.150000,51.200000,150.080000,15932.170000,53.500000,31.520000,-0.194930,1620.220000,18901.710000
Jun-19,1.150000,48.100000,1940.450000,20944.790000,58.470000,30.680000,-6.054690,1730.340000,19549.120000
Jul-19,1.150000,47.800000,1345.050000,18837.410000,58.580000,30.700000,-0.623700,1711.970000,20161.120000
Aug-19,1.150000,47.200000,1839.560000,19928.270000,55.100000,30.600000,-1.255230,1654.920000,21333.490000
Sep-19,1.150000,46.000000,641.940000,24144.730000,54.070000,30.590000,-2.542370,1637.220000,21361.050000
Oct-19,1.150000,46.300000,367.140000,24720.750000,54.180000,30.180000,0.652174,1601.490000,21017.370000
Nov-19,1.000000,44.500000,330.050000,27588.500000,55.170000,30.190000,-3.887690,1590.590000,20632.760000
Dec-19,1.000000,44.500000,243.760000,13388.570000,61.060000,29.760000,0.000000,1579.840000,20724.890000
Jan-20,0.900000,44.100000,1209.120000,9636.260000,51.560000,31.200000,-0.898880,1514.140000,21941.570000
Feb-20,0.700000,43.100000,1462.280000,10871.120000,44.760000,31.510000,-2.267570,1340.520000,23165.690000
Mar-20,0.700000,37.500000,1283.720000,33243.450000,20.480000,32.740000,-12.993000,1125.860000,23549.890000
Apr-20,0.500000,33.300000,2497.520000,2189.880000,18.840000,32.450000,-11.200000,1301.660000,25105.540000
May-20,0.380000,38.100000,1227.250000,2905.460000,35.490000,31.810000,14.414410,1342.850000,25436.730000
Jun-20,0.380000,42.500000,260.610000,9687.630000,39.270000,30.900000,11.548560,1339.030000,25035.570000
Jul-20,0.380000,41.000000,1642.270000,3027.930000,40.270000,31.250000,-3.529410,1328.530000,26714.730000
Aug-20,0.380000,43.000000,2784.170000,7683.840000,42.610000,31.070000,4.878049,1310.660000,28456.490000
Sep-20,0.380000,45.100000,504.000000,14315.240000,40.220000,31.600000,4.883721,1237.040000,27949.210000
Oct-20,0.380000,44.600000,231.670000,7890.770000,35.790000,31.140000,-1.108650,1194.950000,27551.900000
Nov-20,0.380000,46.300000,164.990000,46182.850000,45.340000,30.280000,3.811659,1408.310000,26422.060000
Dec-20,0.380000,46.300000,191.140000,10334.940000,48.520000,30.040000,0.000000,1449.350000,25891.030000
Jan-21,0.380000,43.200000,120.900000,35872.830000,52.200000,29.860000,-6.695460,1466.980000,25983.070000
Feb-21,0.380000,45.500000,102.440000,38985.560000,61.500000,30.470000,5.324074,1496.780000,25188.340000
Mar-21,0.380000,47.500000,239.130000,48231.440000,59.160000,31.240000,4.395604,1587.210000,24581.660000
Apr-21,0.380000,43.500000,217.880000,7771.500000,63.580000,31.140000,-8.421050,1583.130000,25490.960000
May-21,0.380000,41.600000,649.740000,6390.690000,66.320000,31.190000,-4.367820,1593.590000,26736.990000
Jun-21,0.380000,42.700000,435.930000,22764.180000,73.470000,32.020000,2.644231,1587.790000,26722.420000
Jul-21,0.380000,36.700000,550.520000,7398.750000,73.950000,32.890000,-14.051500,1521.920000,27291.370000
Aug-21,0.380000,37.200000,400.580000,12110.740000,68.500000,32.220000,1.362398,1638.750000,27395.290000
Sep-21,0.380000,42.100000,242.110000,24254.260000,75.030000,33.670000,13.172040,1605.680000,27275.170000
Oct-21,0.380000,43.400000,336.710000,13464.670000,83.570000,33.290000,3.087886,1623.430000,27522.980000
Nov-21,0.380000,45.200000,402.450000,12267.640000,66.180000,33.710000,4.147465,1568.690000,27948.040000
Dec-21,0.380000,47.000000,247.910000,38118.000000,75.210000,33.230000,3.982301,1657.620000,27882.050000
Jan-22,0.380000,44.600000,196.000000,17806.470000,88.150000,33.220000,-5.106380,1648.810000,27994.110000
Feb-22,0.380000,44.600000,739.370000,36427.590000,95.720000,32.670000,0.000000,1685.180000,28088.950000
Mar-22,0.380000,43.800000,2680.050000,8119.330000,100.280000,33.280000,-1.793720,1695.240000,29959.530000
Apr-22,0.380000,45.700000,464.260000,14180.820000,104.690000,34.240000,4.337900,1667.440000,30340.410000
May-22,0.380000,44.700000,261.600000,45335.500000,114.670000,34.300000,-2.188180,1663.410000,29546.840000
Jun-22,0.380000,44.300000,567.250000,21906.300000,105.760000,35.300000,-0.894850,1568.330000,29775.410000
Jul-22,0.380000,45.500000,480.090000,66428.090000,98.620000,36.290000,2.708804,1576.410000,29341.600000
Aug-22,0.550000,46.300000,467.260000,45370.040000,89.550000,36.520000,1.758242,1638.930000,29323.930000
Sep-22,0.550000,46.400000,533.420000,53437.120000,79.490000,37.770000,0.215983,1589.510000,28907.200000
Oct-22,0.550000,47.700000,524.100000,26071.290000,86.530000,38.050000,2.801724,1608.760000,29279.790000
Nov-22,0.620000,49.900000,186.600000,31976.970000,80.560000,35.110000,4.612159,1635.360000,29100.790000
Dec-22,0.620000,50.400000,50.800000,30428.330000,80.470000,34.610000,1.002004,1668.660000,28967.950000